"Name","Level","TID","InfoTID","Action","ActionCount","ActionData","ExpReward","DiamondReward","IconSWF","IconExportName","CompletedTID","ShowValue","AndroidID"
"com.supercell.magic.clearobstacles2",2,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",500,,1000,20,,,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","true","CgkI9_nElagcEAIQDA"
,,,,,,,,,,,,,
"com.supercell.magic.unitunlock0",0,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Archer",10,5,,,,"true","CgkI9_nElagcEAIQDQ"
"com.supercell.magic.unitunlock1",1,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Wall Breaker",100,10,,,,"true","CgkI9_nElagcEAIQDg"
"com.supercell.magic.unitunlock2",2,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Dragon",1000,20,,,,"true","CgkI9_nElagcEAIQDw"
,,,,,,,,,,,,,
"com.supercell.magic.lootgold0",0,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",20000,"Gold",10,5,,,"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","true","CgkI9_nElagcEAIQEQ"
"com.supercell.magic.lootgold1",1,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",1000000,"Gold",100,10,,,"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","true","CgkI9_nElagcEAIQEg"
"com.supercell.magic.lootgold2",2,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",100000000,"Gold",1000,20,,,"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","true","CgkI9_nElagcEAIQEw"
,,,,,,,,,,,,,
"com.supercell.magic.lootelixir0",0,"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_ELIXIR","loot",20000,"Elixir",10,5,,,"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQFA"
"com.supercell.magic.lootelixir1",1,"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_ELIXIR","loot",1000000,"Elixir",100,10,,,"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQFQ"
"com.supercell.magic.lootelixir2",2,"TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_ELIXIR","loot",100000000,"Elixir",1000,20,,,"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQFg"
,,,,,,,,,,,,,
"com.supercell.magic.victorypoints0",0,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",75,,10,5,,,"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","true","CgkI9_nElagcEAIQFw"
"com.supercell.magic.victorypoints1",1,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",750,,100,10,,,"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","true","CgkI9_nElagcEAIQGA"
"com.supercell.magic.victorypoints2",2,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",1250,,1000,450,,,"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","true","CgkI9_nElagcEAIQGQ"
,,,,,,,,,,,,,
"com.supercell.magic.castlelevel0",0,"TID_ACHIEVEMENT_CASTLE_TITLE","TID_ACHIEVEMENT_CASTLE_REPAIR","upgrade",1,"Alliance Castle",10,5,,,"TID_ACHIEVEMENT_CASTLE_COMPLETED","true","CgkI9_nElagcEAIQGg"
"com.supercell.magic.castlelevel1",1,"TID_ACHIEVEMENT_CASTLE_TITLE","TID_ACHIEVEMENT_CASTLE_UPGRADE","upgrade",2,"Alliance Castle",100,10,,,"TID_ACHIEVEMENT_CASTLE_COMPLETED","true","CgkI9_nElagcEAIQGw"
"com.supercell.magic.castlelevel2",2,"TID_ACHIEVEMENT_CASTLE_TITLE","TID_ACHIEVEMENT_CASTLE_UPGRADE","upgrade",4,"Alliance Castle",1000,20,,,"TID_ACHIEVEMENT_CASTLE_COMPLETED","true","CgkI9_nElagcEAIQHA"
,,,,,,,,,,,,,
"com.supercell.magic.destroywalls0",0,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",10,"Wall",10,5,,,"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","true","CgkI9_nElagcEAIQHQ"
"com.supercell.magic.destroywalls1",1,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",100,"Wall",100,10,,,"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","true","CgkI9_nElagcEAIQHg"
"com.supercell.magic.destroywalls2",2,"TID_ACHIEVEMENT_DESTROY_WALLS_TITLE","TID_ACHIEVEMENT_DESTROY_WALLS","destroy",2000,"Wall",1000,20,,,"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","true","CgkI9_nElagcEAIQHw"
,,,,,,,,,,,,,
"com.supercell.magic.destroytownhall0",0,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",10,"Town Hall",10,5,,,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","true","CgkI9_nElagcEAIQIA"
"com.supercell.magic.destroytownhall1",1,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",100,"Town Hall",100,10,,,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","true","CgkI9_nElagcEAIQIQ"
"com.supercell.magic.destroytownhall2",2,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",2000,"Town Hall",1000,50,,,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","true","CgkI9_nElagcEAIQIg"
,,,,,,,,,,,,,
"com.supercell.magic.destroybuilder0",0,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",25,"Worker Building",10,5,,,"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","true","CgkI9_nElagcEAIQIw"
"com.supercell.magic.destroybuilder1",1,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",250,"Worker Building",100,10,,,"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","true","CgkI9_nElagcEAIQJA"
"com.supercell.magic.destroybuilder2",2,"TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE","TID_ACHIEVEMENT_DESTROY_BUILDER","destroy",2500,"Worker Building",1000,30,,,"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","true","CgkI9_nElagcEAIQJQ"
,,,,,,,,,,,,,
"com.supercell.magic.pvpattacks0",0,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",25,,10,5,,,"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","true","CgkI9_nElagcEAIQJg"
"com.supercell.magic.pvpattacks1",1,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",250,,100,10,,,"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","true","CgkI9_nElagcEAIQJw"
"com.supercell.magic.pvpattacks2",2,"TID_ACHIEVEMENT_PVP_ATTACKS_TITLE","TID_ACHIEVEMENT_PVP_ATTACKS","win_pvp_attack",5000,,1000,20,,,"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","true","CgkI9_nElagcEAIQKA"
,,,,,,,,,,,,,
"com.supercell.magic.pvpdefenses0",0,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",10,,10,5,,,"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","true","CgkI9_nElagcEAIQKQ"
"com.supercell.magic.pvpdefenses1",1,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",250,,100,50,,,"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","true","CgkI9_nElagcEAIQKg"
"com.supercell.magic.pvpdefenses2",2,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",5000,,1000,100,,,"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","true","CgkI9_nElagcEAIQKw"
,,,,,,,,,,,,,
"com.supercell.magic.donateunits0",0,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",100,,10,5,,,"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","true","CgkI9_nElagcEAIQLA"
"com.supercell.magic.donateunits1",1,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",5000,,100,25,,,"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","true","CgkI9_nElagcEAIQLQ"
"com.supercell.magic.donateunits2",2,"TID_ACHIEVEMENT_DONATE_UNITS_TITLE","TID_ACHIEVEMENT_DONATE_UNITS","donate_units",25000,,1000,250,,,"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","true","CgkI9_nElagcEAIQLg"
,,,,,,,,,,,,,
"com.supercell.magic.destroymortars0",0,"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","TID_ACHIEVEMENT_DESTROY_MORTARS","destroy",25,"Mortar",10,5,,,"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","true","CgkI9_nElagcEAIQLw"
"com.supercell.magic.destroymortars1",1,"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","TID_ACHIEVEMENT_DESTROY_MORTARS","destroy",500,"Mortar",100,10,,,"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","true","CgkI9_nElagcEAIQMA"
"com.supercell.magic.destroymortars2",2,"TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE","TID_ACHIEVEMENT_DESTROY_MORTARS","destroy",5000,"Mortar",1000,20,,,"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","true","CgkI9_nElagcEAIQMQ"
,,,,,,,,,,,,,
"com.supercell.magic.lootdarkelixir0",0,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","loot",20000,"DarkElixir",10,5,,,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQMg"
"com.supercell.magic.lootdarkelixir1",1,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","loot",250000,"DarkElixir",100,10,,,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQMw"
"com.supercell.magic.lootdarkelixir2",2,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE","TID_ACHIEVEMENT_LOOT_DARK_ELIXIR","loot",1000000,"DarkElixir",1000,20,,,"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","true","CgkI9_nElagcEAIQNA"
,,,,,,,,,,,,,
"com.supercell.magic.league0",0,"TID_ACHIEVEMENT_LEAGUE_TITLE","TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","league",10,,100,250,,,,"true","CgkI9_nElagcEAIQNQ"
"com.supercell.magic.league1",1,"TID_ACHIEVEMENT_LEAGUE_TITLE","TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","league",13,,500,1000,,,,"true","CgkI9_nElagcEAIQNg"
"com.supercell.magic.league2",2,"TID_ACHIEVEMENT_LEAGUE_TITLE","TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","league",16,,2000,2000,,,,"true","CgkI9_nElagcEAIQNw"
,,,,,,,,,,,,,
"com.supercell.magic.destroyxbows0",0,"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","TID_ACHIEVEMENT_DESTROY_XBOW_ONE","destroy",1,"Bow",50,50,,,"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","true","CgkI9_nElagcEAIQOA"
"com.supercell.magic.destroyxbows1",1,"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","TID_ACHIEVEMENT_DESTROY_XBOW","destroy",250,"Bow",100,100,,,"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","true","CgkI9_nElagcEAIQOQ"
"com.supercell.magic.destroyxbows2",2,"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","TID_ACHIEVEMENT_DESTROY_XBOW","destroy",2500,"Bow",1000,200,,,"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","true","CgkI9_nElagcEAIQOg"
,,,,,,,,,,,,,
"com.supercell.magic.destroyinferno0",0,"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","TID_ACHIEVEMENT_DESTROY_INFERNO","destroy",10,"Dark Tower",50,100,,,"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","true","CgkI9_nElagcEAIQOw"
"com.supercell.magic.destroyinferno1",1,"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","TID_ACHIEVEMENT_DESTROY_INFERNO","destroy",250,"Dark Tower",500,200,,,"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","true","CgkI9_nElagcEAIQPA"
"com.supercell.magic.destroyinferno2",2,"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","TID_ACHIEVEMENT_DESTROY_INFERNO","destroy",5000,"Dark Tower",5000,1000,,,"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","true","CgkI9_nElagcEAIQPQ"
,,,,,,,,,,,,,
"com.supercell.magic.warstars0",0,"TID_ACHIEVEMENT_WAR_STARS_TITLE","TID_ACHIEVEMENT_WAR_STARS","war_stars",10,,50,50,,,"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","true","CgkI9_nElagcEAIQQA"
"com.supercell.magic.warstars1",1,"TID_ACHIEVEMENT_WAR_STARS_TITLE","TID_ACHIEVEMENT_WAR_STARS","war_stars",150,,500,200,,,"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","true","CgkI9_nElagcEAIQQQ"
"com.supercell.magic.warstars2",2,"TID_ACHIEVEMENT_WAR_STARS_TITLE","TID_ACHIEVEMENT_WAR_STARS","war_stars",1000,,5000,1000,,,"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","true","CgkI9_nElagcEAIQQg"
,,,,,,,,,,,,,
"com.supercell.magic.warloot0",0,"TID_ACHIEVEMENT_WAR_LOOT_TITLE","TID_ACHIEVEMENT_WAR_LOOT","war_loot",800000,,100,25,,,"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","true","CgkI9_nElagcEAIQQw"
"com.supercell.magic.warloot1",1,"TID_ACHIEVEMENT_WAR_LOOT_TITLE","TID_ACHIEVEMENT_WAR_LOOT","war_loot",15000000,,500,100,,,"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","true","CgkI9_nElagcEAIQRA"
"com.supercell.magic.warloot2",2,"TID_ACHIEVEMENT_WAR_LOOT_TITLE","TID_ACHIEVEMENT_WAR_LOOT","war_loot",100000000,,5000,500,,,"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","true","CgkI9_nElagcEAIQRQ"
,,,,,,,,,,,,,
"com.supercell.magic.destroyartillery0",0,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","TID_ACHIEVEMENT_DESTROY_ARTILLERY","destroy",20,"Ancient Artillery",100,150,,,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","true","CgkI9_nElagcEAIQRw"
"com.supercell.magic.destroyartillery1",1,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","TID_ACHIEVEMENT_DESTROY_ARTILLERY","destroy",200,"Ancient Artillery",800,300,,,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","true","CgkI9_nElagcEAIQRg"
"com.supercell.magic.destroyartillery2",2,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","TID_ACHIEVEMENT_DESTROY_ARTILLERY","destroy",2000,"Ancient Artillery",5000,1000,,,"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","true","CgkI9_nElagcEAIQSA"
,,,,,,,,,,,,,
"com.supercell.magic.spelldonations0",0,"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","TID_ACHIEVEMENT_SPELL_DONATION","donate_spells",100,,20,20,,,"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","true","CgkI9_nElagcEAIQSQ"
"com.supercell.magic.spelldonations1",1,"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","TID_ACHIEVEMENT_SPELL_DONATION","donate_spells",2000,,200,100,,,"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","true","CgkI9_nElagcEAIQSg"
"com.supercell.magic.spelldonations2",2,"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","TID_ACHIEVEMENT_SPELL_DONATION","donate_spells",10000,,2000,500,,,"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","true","CgkI9_nElagcEAIQSw"
