"Name","Type","SWF","ExportName","RequiredClanLevel"
"Foreground1","Foreground","sc/ui.sc",,
"Foreground2","Foreground","sc/ui.sc","badge_border_1a",2
"Foreground2a","Foreground","sc/ui.sc","badge_border_1b",2
"Foreground2b","Foreground","sc/ui.sc","badge_border_1c",2
"Foreground2c","Foreground","sc/ui.sc","badge_border_2a",3
"Foreground3","Foreground","sc/ui.sc","badge_border_2b",3
"Foreground3a","Foreground","sc/ui.sc","badge_border_2c",3
"Foreground3b","Foreground","sc/ui.sc","badge_border_3a",4
"Foreground3c","Foreground","sc/ui.sc","badge_border_3b",4
"Foreground4","Foreground","sc/ui.sc","badge_border_3c",5
"Foreground4a","Foreground","sc/ui.sc","badge_border_3d",5
"Foreground4b","Foreground","sc/ui.sc","badge_border_4a",6
"Foreground4c","Foreground","sc/ui.sc","badge_border_4b",6
"Foreground4d","Foreground","sc/ui.sc","badge_border_4c",7
"Foreground4e","Foreground","sc/ui.sc","badge_border_4d",7
"Foreground5","Foreground","sc/ui.sc","badge_border_5a",8
"Foreground5a","Foreground","sc/ui.sc","badge_border_5b",8
"Foreground5b","Foreground","sc/ui.sc","badge_border_5c",9
"Foreground6","Foreground","sc/ui.sc","badge_border_6a",9
"Foreground6a","Foreground","sc/ui.sc","badge_border_6b",9
